,reference,query,response,is_hallucination,guard_passed_gpt-4o-mini,guard_latency_gpt-4o-mini,guard_passed_gpt-3.5-turbo,guard_latency_gpt-3.5-turbo
10688,"Fanna is a ""comune"" (municipality) in the Province of Pordenone in the Italian region Friuli-Venezia Giulia, located about 100 km northwest of Trieste and about 25 km northeast of Pordenone.Trieste ( ; ]    ; Slovene: ""Trst"" ) is a city and seaport in northeastern Italy.","What is Fanna, located about 100km northwest of Trieste, Italy known as?","""comune""",False,True,2.450899916002527,True,1.0907911660033278
10937,"Gabriel Sherman is an American author. In 2014, he wrote a biography about Fox News Channel president Roger Ailes called ""The Loudest Voice in the Room: How the Brilliant, Bombastic Roger Ailes Built Fox News – and Divided a Country"", which debuted at #9 on The New York Times Bestseller list.Roger Eugene Ailes (May 15, 1940 – May 18, 2017) was an American television executive and media consultant.","What is the birthdate of this American television executive and media consultant, who was a media consultant and for whom Gabriel Sherman wrote a biography?","Roger Ailes was actually born on June 15, 1940.",True,False,1.8107206659624353,False,1.0990982910152525
919," During the American Revolutionary War, General Benedict Arnold met at the house with British Major John André, while plotting to surrender the fort at West Point.Benedict Arnold (January 14, 1741 [O.S. January 3, 1740] June 14, 1801) was a general during the American Revolutionary War, who fought for the American Continental Army, and later defected to the British Army.","Joshua Hett Smith House (demolished), also known as Treason House, was a historic house in West Haverstraw, New York, during the American Revolutionary War, which General met at the house with British Major John André, while plotting to surrender the fort at West Point, who was the general during the American Revolutionary War, who fought for the American Continental Army, and later defected to the British Army?",The general who met with British Major John André at the Joshua Hett Smith House and later defected to the British Army during the American Revolutionary War was Major-General Horatio Gates.,True,False,1.7279078749706969,False,1.1876480000209995
15579,"Rudolph the Red-Nosed Reindeer: The Movie is a 1998 American animated musical film about Rudolph the Red-Nosed Reindeer, who first appeared in a 1939 story by Robert L. May. It stars John Goodman, Eric Idle, Whoopi Goldberg, Debbie Reynolds, Richard Simmons and Bob Newhart.Milton Teagle ""Richard"" Simmons (born July 12, 1948) is an American fitness guru, actor, and comedian. He promotes weight-loss programs, prominently through his ""Sweatin' to the Oldies"" line of aerobics videos and is known for his eccentric, flamboyant, and energetic personality.","When was the American fitness guru, actor, and comedian born who is known for his eccentric, flamboyant, and energetic personality and also a star of Rudolph the Red-Nosed Reindeer: The Movie?",Richard Simmons was born in 1950.,True,False,1.5069875000044703,False,1.4272411669953726
6103," The show, performed one day before the Super Tuesday primary elections, was an act of support for Democratic presidential candidate Barack Obama, and featured former Dead members Phil Lesh, Bob Weir, and Mickey Hart, as well as John Molo, Jackie Greene, Steve Molitz, Mark Karan and Barry Sless.Barack Hussein Obama II ( ; born August 4, 1961) is an American politician who served as the 44th President of the United States from 2009 to 2017.",What number president was the person who was supported by Deadheads for Obama?,The person who was supported by Deadheads for Obama wasn't a president.,True,False,1.4752871670061722,False,1.0873350420151837
13427,"Magnus Christensen (born 20 August 1997 in Frederikshavn, Denmark) is a Danish footballer, who plays as a midfielder for Danish Superliga side AaB.AaB Fodbold, also referred to as Aalborg BK or AaB, is a professional football team of Danish sports conglomerate Aalborg Boldspilklub, located in Aalborg.",What team does Magnus Christensen play for that is located in Aalborg?,Magnus Christensen plays for AaB.,True,True,1.32519741600845,True,1.0853244579629973
4737," Since 1998, it has been owned by PepsiCo. In August 1964, the Mountain Dew brand and production rights were acquired from Tip by the Pepsi-Cola company, at which point distribution expanded more widely across the United States and Canada.",What company owns both Mountain Dew and Tropicana Products?,Coca-Cola owns both Mountain Dew and Tropicana.,True,False,1.6988192499848083,False,1.0476246250327677
599," Before the start of the season, Bayern signed Xherdan Shaqiri, Dante, Claudio Pizarro, Mitchell Weiser, Tom Starke and Mario Mandžukić.Dante Bonfim Costa Santos (born 18 October 1983), commonly known as Dante (] ), is a Brazilian professional footballer who plays for French Ligue 1 club Nice.",Which player singed to Bayern Munich was born in 18 October 1983?,The player signed by Bayern Munich who was born in 1983 is Dante.,True,True,1.7446440840139985,True,1.3228131670039147
16878,"The 403d Operations Group (403 OG) is the operational flying component of the United States Air Force Reserve 403d Wing.Keesler Air Force Base (IATA: BIX, ICAO: KBIX, FAA LID: BIX) is a United States Air Force base located in Biloxi, a city in Harrison County, Mississippi, United States.",Which Air Force Base is based in Harrison County and stations the 403d Operations Group?,Keesler Air Force Base,False,True,1.9033292079693638,True,1.030731333012227
9558,"Columbia University (Columbia; officially Columbia University in the City of New York), established in 1754, is a private Ivy League research university in Upper Manhattan, New York City, often cited as one of the world's most prestigious universities.Virginia Commonwealth University (VCU) is a public research university located in Richmond, Virginia.","Which university is considered a public research university, Columbia University of Virginia Commonwealth University?",Virginia Commonwealth University,False,True,1.2291251249844208,False,1.0970276250154711
10494,"Emma Matthews (born 1970) is an English-born Australian lyric coloratura soprano, noted for operatic roles, but also popular on the concert stage.A lyric soprano is a type of operatic soprano voice that has a warm quality with a bright, full timbre that can be heard over an orchestra.",What type of soprano was Emma Matthews famous for?,lyric soprano is a type of operatic soprano voice,False,True,1.7367857079952955,True,1.2495948750292882
4797," Some of his most prominent roles include appearances in ""ER"" as Dr. Archie Morris, ""Party of Five"" as Will McCorkle, ""Band of Brothers"" as Technical Sergeant Donald Malarkey, and the animated sitcom ""American Dad! Malarkey was portrayed in the HBO miniseries ""Band of Brothers"" by Scott Grimes.",What prominent role did Scott Grimes play in HBO Mini series band of brothers?,Scott Grimes played Corporal Nixon.,True,False,2.074408999993466,False,1.1689547499991022
695," Cairo Junction is located at the junction of U.S. Route 51, Illinois Route 3, and Illinois Route 37 north of Cairo.U.S. Route 51 is a south-north United States highway that runs for 1286 mi from the western suburbs of New Orleans, Louisiana to within 100 ft of the Wisconsin–Michigan border.",Which highway that has a junction at Cairo Junction is 1286 miles long?,The length of U.S. Route 51 is 1290 miles.,True,False,1.4271775410161354,False,1.1709912499645725
14440,Opal Koboi is a fictional character from the Artemis Fowl series by Eoin Colfer.Eoin Colfer ( ; born 14 May 1965) is an Irish author of children's books.,In what year was the author of the book series which had the character Opal Koboi born?,1965,False,True,1.5300775830401108,True,1.2048062090179883
13812,"Michael Derek Elworthy Jarman (31 January 1942 – 19 February 1994) was an English film director, stage designer, diarist, artist, gardener and author.Joseph Porter Ruben (born May 10, 1950) is an American film director, screenwriter and producer.",Do Derek Jarman and Joseph Ruben have the same nationality?,no,False,True,1.2880732920020819,False,1.3562705419608392
19096,"Tomáš Šmíd (born May 20, 1956 in Plzeň) is a former tennis player from Czechoslovakia, who won nine singles titles during his career.Fabrice Vetea Santoro (born 9 December 1972) is a retired French professional male tennis player from Tahiti.",Were Tomáš Šmíd and Fabrice Santoro both professional tennis players?,yes,False,True,2.3507872080081142,False,1.1285237079719082
10356,"Edmund Patrick ""Eddie"" Cahill (born January 15, 1978) is an American actor best known for portraying ""Miracle on Ice"" goalie Jim Craig in the movie ""Miracle"", and for playing the roles of Tag Jones on ""Friends"" and Detective Don Flack on "".""James Downey Craig (born May 31, 1957) is a retired American ice hockey goaltender who is most notable for being part of the 1980 U.S. Olympic hockey team that won the Olympic gold medal at the Lake Placid Winter Games.",Eddie Cahill is best known for portraying a retired American ice hockey goaltender who was part of the 1980 U.S. hockey team that won the gold medal at the Olympic games that were held where?,Lake Placid,False,True,1.507092708023265,True,1.0392030839575455
1888," He recorded and toured with bandleader Bob Wills on and off into the early 1960s.James Robert Wills (March 6, 1905 – May 13, 1975) was an American Western swing musician, songwriter, and bandleader.",What was the full name of the leader of the band that Tommy Duncan was a part of?,James Robert Wills,False,True,1.986316833004821,True,1.1133215419831686
10986,"Gathering Blue is a young adult-social science novel, written by Lois Lowry and released in the year 2000.Lois Lowry (born Lois Ann Hammersberg; March 20, 1937) is an American writer credited with more than thirty children's books.","Gathering Blue is a young adult-social science novel, written by which American writer credited with more than thirty children's books, and has won two Newbery Medals?",Lois Lowry,False,True,1.8395116250030696,True,1.184943291998934
15807,"Seed of Chucky is a 2004 American supernatural comedy slasher film, the fifth installment of the ""Child's Play"" series, and sequel to 1998's ""Bride of Chucky"".Child's Play 3 is a 1991 American supernatural slasher film.",What type of media does Seed of Chucky and Child's Play 3 have in common?,Seed of Chucky and Child's Play 3 share a type of supernatural slasher violence.,True,True,1.45341533300234,False,1.5345945830340497
6806," Written, directed by and starring Steve Oedekerk, it uses footage from the 1976 Hong Kong martial arts film ""Tiger and Crane Fist"" (also called ""Savage Killers""), along with new footage shot by Oedekerk, to create an original, unrelated plot. A subgenre of the action film, martial arts films contain numerous martial arts fights between characters.","Who wrote and directed ""Tiger and Crane Fist"", a parody of a martial arts film, which usually contain numerous martial arts fights?",Steve Oedekerk,False,True,1.3851272080210038,True,1.2479950829874724
9715,"Curfew Must Not Ring Tonight is a narrative poem by Rose Hartwick Thorpe, written in 1867 and set in the 17th century.Rose Hartwick Thorpe (July 18, 1850 – July 19, 1939) was an American poet and writer, remembered largely for the narrative poem, ""Curfew Must Not Ring Tonight"" (1867), which gained national popularity.","when was a narrative poem most known from an American poet born July 18, 1850 written?","Curfew Must Not Ring Tonight was written in 1867, the same year the American poet was born.",True,False,1.9189018749748357,False,1.4196314999717288
4503," She is a three-time Festivali i Këngës winner, a three-time Kënga Magjike winner and a two-time Balkan Music Award winner for ""Balkan's Song of The Year"" and ""Best Singer from Albania"".Kënga Magjike (""Magical Song"" in English) is a major musical event in Albania.",What major Albanian musical event did Aurela Gaçe win?,Aurela Gaçe won the Albanian Music Festival.,True,False,1.2911357500124723,False,1.1896017499966547
16580,"The 1973 Indiana Hoosiers football team represented the Indiana Hoosiers in the 1973 Big Ten Conference football season. The team was coached by Lee Corso, in his first year as head coach of the Hoosiers.Lee Corso (born August 7, 1935) is an American sports broadcaster and football analyst for ESPN and former coach.",In what year was the man born who coached The 1973 Indiana Hoosiers football team?,1935,False,True,1.2655211659730412,True,1.2924015420139767
